Date_str,ID,Date,Month,Year
2010/01/01,20042657,2010-01-01,1,2010
2010/01/06,20048405,2010-01-06,1,2010
2010/01/01,26966632,2010-01-01,1,2010
2010/01/30,20111061,2010-01-30,1,2010
2010/01/23,20092734,2010-01-23,1,2010
2010/01/19,20082366,2010-01-19,1,2010
2010/01/14,20067653,2010-01-14,1,2010
2010/01/30,20110367,2010-01-30,1,2010
2010/01/05,20045715,2010-01-05,1,2010
2010/01/29,20107913,2010-01-29,1,2010
2010/01/01,25302103,2010-01-01,1,2010
2010/01/19,20078243,2010-01-19,1,2010
2010/01/22,20090223,2010-01-22,1,2010
2010/01/23,20093483,2010-01-23,1,2010
2010/01/14,20066995,2010-01-14,1,2010
2010/01/26,20098309,2010-01-26,1,2010
2010/01/14,20066983,2010-01-14,1,2010
2010/01/30,20109356,2010-01-30,1,2010
2010/01/19,20080770,2010-01-19,1,2010
2010/01/01,21755665,2010-01-01,1,2010
2010/01/22,20090391,2010-01-22,1,2010
2010/01/19,20081036,2010-01-19,1,2010
2010/01/29,20107841,2010-01-29,1,2010
2010/01/07,20052736,2010-01-07,1,2010
2010/01/23,20093488,2010-01-23,1,2010
2010/01/01,24281091,2010-01-01,1,2010
2010/01/30,20082794,2010-01-30,1,2010
2010/01/19,20077677,2010-01-19,1,2010
2010/01/01,21534492,2010-01-01,1,2010
2010/01/09,20055724,2010-01-09,1,2010
2010/01/27,20040313,2010-01-27,1,2010
2010/01/13,20066506,2010-01-13,1,2010
2010/01/22,20090462,2010-01-22,1,2010
2010/01/12,20059928,2010-01-12,1,2010
2010/01/09,20055219,2010-01-09,1,2010
2010/01/06,20048253,2010-01-06,1,2010
2010/01/06,20049226,2010-01-06,1,2010
2010/01/23,20093251,2010-01-23,1,2010
2010/01/21,20087239,2010-01-21,1,2010
2010/01/05,20045410,2010-01-05,1,2010
2010/01/07,20051882,2010-01-07,1,2010
2010/01/22,20090040,2010-01-22,1,2010
2010/01/15,20070823,2010-01-15,1,2010
2010/01/27,19822062,2010-01-27,1,2010
2010/01/23,20093600,2010-01-23,1,2010
2010/01/05,20045616,2010-01-05,1,2010
2010/01/01,20041995,2010-01-01,1,2010
2010/01/01,21875014,2010-01-01,1,2010
2010/01/27,20100967,2010-01-27,1,2010
2010/01/05,20046868,2010-01-05,1,2010
2010/01/19,20080405,2010-01-19,1,2010
2010/01/06,20047263,2010-01-06,1,2010
2010/01/20,20082658,2010-01-20,1,2010
2010/01/09,20057953,2010-01-09,1,2010
2010/01/14,20068167,2010-01-14,1,2010
2010/01/20,20082558,2010-01-20,1,2010
2010/01/01,22798511,2010-01-01,1,2010
2010/01/16,20075027,2010-01-16,1,2010
2010/01/19,20080737,2010-01-19,1,2010
2010/01/06,20049988,2010-01-06,1,2010
2010/01/01,21504134,2010-01-01,1,2010
2010/01/19,20079024,2010-01-19,1,2010
2010/01/20,20083873,2010-01-20,1,2010
2010/01/01,23662085,2010-01-01,1,2010
2010/01/01,22823967,2010-01-01,1,2010
2010/01/12,20059242,2010-01-12,1,2010
2010/01/21,20087538,2010-01-21,1,2010
2010/01/22,20091636,2010-01-22,1,2010
2010/01/29,20104756,2010-01-29,1,2010
2010/01/16,20077430,2010-01-16,1,2010
2010/01/19,20080526,2010-01-19,1,2010
2010/01/19,20081106,2010-01-19,1,2010
2010/01/01,21532844,2010-01-01,1,2010
2010/01/16,20074481,2010-01-16,1,2010
2010/01/12,20061206,2010-01-12,1,2010
2010/01/01,23440622,2010-01-01,1,2010
2010/01/16,20073568,2010-01-16,1,2010
2010/01/09,20056037,2010-01-09,1,2010
2010/01/01,21563489,2010-01-01,1,2010
2010/01/12,20061326,2010-01-12,1,2010
2010/01/12,20059725,2010-01-12,1,2010
2010/01/12,20061653,2010-01-12,1,2010
2010/01/13,20064128,2010-01-13,1,2010
2010/01/28,20102478,2010-01-28,1,2010
2010/01/20,20083750,2010-01-20,1,2010
2010/01/16,20073435,2010-01-16,1,2010
2010/01/07,20051036,2010-01-07,1,2010
2010/01/29,20105127,2010-01-29,1,2010
2010/01/14,20069328,2010-01-14,1,2010
2010/01/06,20049801,2010-01-06,1,2010
2010/01/29,20105265,2010-01-29,1,2010
2010/01/13,20064244,2010-01-13,1,2010
2010/01/12,20061515,2010-01-12,1,2010
2010/01/12,20058691,2010-01-12,1,2010
2010/01/14,20069205,2010-01-14,1,2010
2010/01/09,19669637,2010-01-09,1,2010
2010/01/29,20108268,2010-01-29,1,2010
2010/01/26,20096678,2010-01-26,1,2010
2010/01/19,20077671,2010-01-19,1,2010
2010/01/01,23858611,2010-01-01,1,2010
2010/01/21,20087156,2010-01-21,1,2010
2010/01/01,22001932,2010-01-01,1,2010
2010/01/08,20052867,2010-01-08,1,2010
2010/01/01,25013579,2010-01-01,1,2010
2010/01/15,20072828,2010-01-15,1,2010
2010/01/01,22470705,2010-01-01,1,2010
2010/01/05,20046690,2010-01-05,1,2010
2010/01/15,20073036,2010-01-15,1,2010
2010/01/26,20098332,2010-01-26,1,2010
2010/01/02,20044641,2010-01-02,1,2010
2010/01/16,20075103,2010-01-16,1,2010
2010/01/06,20048453,2010-01-06,1,2010
2010/01/07,20051454,2010-01-07,1,2010
2010/01/15,20070880,2010-01-15,1,2010
2010/01/09,20057292,2010-01-09,1,2010
2010/01/12,20061426,2010-01-12,1,2010
2010/01/13,20065243,2010-01-13,1,2010
2010/01/22,20090027,2010-01-22,1,2010
2010/01/23,20092672,2010-01-23,1,2010
2010/01/07,20051641,2010-01-07,1,2010
2010/01/22,20088089,2010-01-22,1,2010
2010/01/19,20078384,2010-01-19,1,2010
2010/01/14,20067914,2010-01-14,1,2010
2010/01/20,20083406,2010-01-20,1,2010
2010/01/16,20073397,2010-01-16,1,2010
2010/01/01,22129339,2010-01-01,1,2010
2010/01/22,20092019,2010-01-22,1,2010
2010/01/01,25965924,2010-01-01,1,2010
2010/01/19,20079840,2010-01-19,1,2010
2010/01/26,20098199,2010-01-26,1,2010
2010/01/01,21437101,2010-01-01,1,2010
2010/01/14,20068209,2010-01-14,1,2010
2010/01/09,20055737,2010-01-09,1,2010
2010/01/19,20082275,2010-01-19,1,2010
2010/01/28,20059564,2010-01-28,1,2010
2010/01/30,20112385,2010-01-30,1,2010
2010/01/23,20092591,2010-01-23,1,2010
2010/01/12,20061874,2010-01-12,1,2010
2010/01/05,20047080,2010-01-05,1,2010
2010/01/30,20110517,2010-01-30,1,2010
2010/01/22,20091856,2010-01-22,1,2010
2010/01/29,20108356,2010-01-29,1,2010
2010/01/01,22129341,2010-01-01,1,2010
2010/01/01,22791483,2010-01-01,1,2010
2010/01/08,20054870,2010-01-08,1,2010
2010/01/26,20097743,2010-01-26,1,2010
2010/01/01,20041908,2010-01-01,1,2010
2010/01/01,22958311,2010-01-01,1,2010
2010/01/30,20110613,2010-01-30,1,2010
2010/01/22,20088344,2010-01-22,1,2010
2010/01/16,20075466,2010-01-16,1,2010
2010/01/01,20042988,2010-01-01,1,2010
2010/01/27,20101428,2010-01-27,1,2010
2010/01/16,20075923,2010-01-16,1,2010
2010/01/06,20047581,2010-01-06,1,2010
2010/01/28,20103575,2010-01-28,1,2010
2010/01/01,21694935,2010-01-01,1,2010
